first_name,last_name,height_feet,height_inches,weight,debut_year,birthdate,country,years_pro,jersey,position,college
Dzanan,Musa,6,9,208,,5/8/1999,Bosnia and Herzegovina,0,30,G-F,
Mike,Muscala,6,11,240,2013,7/1/1991,USA,5,31,F-C,Bucknell
Svi,Mykhailiuk,6,8,205,,6/10/1997,Ukraine,0,10,F,Kansas
Abdel,Nader,6,6,225,2017,9/25/1993,Egypt,1,11,F,Iowa State
Larry,Nance Jr.,6,9,230,2015,1/1/1993,USA,3,22,F,Wyoming
Shabazz,Napier,6,1,180,2014,7/14/1991,USA,4,13,G,Connecticut
Nene,,6,11,250,2002,9/13/1982,Brazil,16,42,C-F,"Sao Carlos, Brazil"
Raul,Neto,6,1,179,2015,5/19/1992,Brazil,3,25,G,
Georges,Niang,6,8,230,2016,6/17/1993,USA,2,31,F,Iowa State
Nerlens,Noel,6,11,220,2014,4/10/1994,USA,4,3,F-C,Kentucky
Dirk,Nowitzki,7,0,245,1998,6/19/1978,Germany,20,41,F,"Wurzburg, Germany"
Frank,Ntilikina,6,6,200,2017,7/28/1998,France,1,11,G,
James,Nunnally,6,7,208,2013,7/14/1990,USA,1,7,F,California-Santa Barbara
Jusuf,Nurkic,7,0,275,2014,8/23/1994,Bosnia & Herzegovina,4,27,C,
David,Nwaba,6,4,219,2016,1/14/1993,USA,2,12,G,Cal Poly-S.L.O.
Royce,O'Neale,6,6,226,2017,6/5/1993,USA,1,23,F,Baylor
Kyle,O'Quinn,6,10,250,2012,3/26/1990,USA,6,10,C,Norfolk State
Semi,Ojeleye,6,7,241,2017,12/5/1994,USA,1,37,F,Southern Methodist
Jahlil,Okafor,6,11,275,2015,12/15/1995,USA,3,8,C,Duke
Elie,Okobo,6,2,180,2018,10/23/1997,France,0,2,G,
Josh,Okogie,6,4,212,,9/1/1998,Nigeria,0,20,G,Georgia Tech
Victor,Oladipo,6,4,210,2013,5/4/1992,USA,5,4,G,Indiana
Kelly,Olynyk,7,0,240,2013,4/19/1991,Canada,5,9,F,Gonzaga
Cedi,Osman,6,8,215,2017,4/8/1995,Turkey,1,16,F,Anadolu Efes
Kelly,Oubre Jr.,6,7,205,2015,12/9/1995,USA,3,12,F,Kansas
Zaza,Pachulia,6,11,270,2003,2/10/1984,Georgia,15,27,C,"Tbilisi, Georgia"
Jabari,Parker,6,8,245,2014,3/15/1995,USA,4,2,F,Duke
Tony,Parker,6,2,185,2001,5/17/1982,France,17,9,G,"Paris, France"
Chandler,Parsons,6,10,230,2011,10/25/1988,USA,7,25,F,Florida
Patrick,Patterson,6,9,230,2010,3/14/1989,USA,8,54,F,Kentucky
Justin,Patton,7,0,241,2017,6/14/1997,USA,1,24,C,Creighton
Chris,Paul,6,0,175,2005,5/6/1985,USA,13,3,G,Wake Forest
Cameron,Payne,6,3,190,2015,8/8/1994,USA,3,22,G,Murray State
Elfrid,Payton,6,4,185,2014,2/22/1994,USA,4,4,G,Louisiana-Lafayette
Theo,Pinson,6,6,218,,11/5/1995,USA,0,10,G-F,
Mason,Plumlee,6,11,235,2013,3/5/1990,USA,5,24,F-C,Duke
Miles,Plumlee,6,11,249,2012,9/1/1988,USA,6,18,C,Duke
Jakob,Poeltl,7,0,230,2016,10/15/1995,Austria,2,25,C,Utah
Quincy,Pondexter,6,7,230,2010,3/10/1988,USA,6,3,F,Washington
Michael,Porter Jr.,6,10,210,,6/29/1998,USA,0,1,F,Missouri
Otto,Porter Jr.,6,8,198,2013,6/3/1993,USA,5,22,F,Georgetown
Bobby,Portis,6,11,250,2015,2/10/1995,USA,3,5,F,Arkansas
Kristaps,Porzingis,7,3,240,2015,8/2/1995,Latvia,3,6,F-C,
Dwight,Powell,6,11,240,2014,7/20/1991,Canada,4,7,F-C,Stanford
Norman,Powell,6,4,215,2015,5/25/1993,USA,3,24,F-G,UCLA
Alex,Poythress,6,9,235,2016,9/6/1993,USA,2,22,F,Kentucky
Billy,Preston,6,10,240,,10/26/1997,USA,0,20,F,University of Kansas
Taurean,Prince,6,8,220,2016,3/22/1994,USA,2,12,F,Baylor
Zhou,Qi,7,1,210,2017,1/16/1996,China,1,9,F-C,
Ivan,Rabb,6,10,220,2017,2/4/1997,USA,1,10,F,California
Julius,Randle,6,9,250,2014,11/29/1994,USA,4,30,F,Kentucky
Zach,Randolph,6,9,250,2001,7/16/1981,USA,17,50,F,Michigan State
JJ,Redick,6,4,200,2006,6/24/1984,USA,12,17,G,Duke
Josh,Richardson,6,6,200,2015,9/15/1993,USA,3,0,F,Tennessee
Malachi,Richardson,6,6,205,2016,1/5/1996,USA,2,22,G,Syracuse
Austin,Rivers,6,4,200,2012,8/1/1992,USA,6,1,G,Duke
Andre,Roberson,6,7,210,2013,12/4/1991,USA,5,21,G-F,Colorado
Devin,Robinson,6,8,200,2017,3/7/1995,USA,1,7,F,Florida
Duncan,Robinson,6,8,210,,4/22/1994,USA,0,55,F,Michigan
Jerome,Robinson,6,5,190,,2/22/1997,USA,0,10,G,Boston College
Mitchell,Robinson,7,1,240,2018,4/1/1998,USA,0,26,C,
Glenn,Robinson III,6,6,222,2014,1/8/1994,USA,4,22,G-F,Michigan
Rajon,Rondo,6,1,186,2006,2/22/1986,USA,12,9,G,Kentucky
Derrick,Rose,6,3,200,2008,10/4/1988,USA,9,25,G,Memphis
Terrence,Ross,6,7,206,2012,2/5/1991,USA,6,31,G-F,Washington
Terry,Rozier,6,1,190,2015,3/17/1994,USA,3,12,G,Louisville
Ricky,Rubio,6,4,190,2011,10/21/1990,Spain,7,3,G,"El Masnou, Spain"
D'Angelo,Russell,6,5,198,2015,2/23/1996,USA,3,1,G,Ohio State
Domantas,Sabonis,6,11,240,2016,5/3/1996,Lithuania,2,11,F,Gonzaga
Dario,Saric,6,10,223,2016,4/8/1994,Croatia,2,9,F,
Tomas,Satoransky,6,7,210,2016,10/30/1991,Czech Republic,2,31,G-F,
Dennis,Schroder,6,1,172,2013,9/15/1993,Germany,5,17,G,Germany
Mike,Scott,6,8,237,2012,7/16/1988,USA,6,30,F,Virginia
Thabo,Sefolosha,6,7,220,2006,5/2/1984,Switzerland,12,22,F,"Vevey, Switzerland"
Wayne,Selden,6,5,230,2016,9/30/1994,USA,2,7,G-F,Kansas
Collin,Sexton,6,2,190,2018,1/4/1999,USA,0,2,G,Alabama
Landry,Shamet,6,5,188,2018,3/13/1997,USA,0,23,G,Wichita State
Iman,Shumpert,6,5,215,2011,6/26/1990,USA,7,9,G,Georgia Tech
Pascal,Siakam,6,9,230,2016,4/2/1994,Cameroon,2,43,F,New Mexico State
Ben,Simmons,6,10,230,2017,7/20/1996,Australia,1,25,G-F,Louisiana State
Jonathon,Simmons,6,6,195,2015,9/14/1989,USA,3,17,F,Houston
Anfernee,Simons,6,4,185,,6/8/1999,USA,0,24,G,IMG Academy
Marcus,Smart,6,4,220,2014,3/6/1994,USA,4,36,G,Oklahoma State
Ish,Smith,6,0,175,2010,7/5/1988,USA,8,14,G,Wake Forest
Jason,Smith,7,0,240,2007,3/2/1986,USA,10,14,F-C,Colorado State
JR,Smith,6,6,225,2004,9/9/1985,USA,14,5,G-F,St. Benedict's Prep (NJ)
Zhaire,Smith,6,4,199,,6/4/1999,USA,0,8,G,Texas Tech
Dennis,Smith Jr.,6,3,195,2017,11/25/1997,USA,1,1,G,North Carolina State
Tony,Snell,6,7,213,2013,11/10/1991,USA,5,21,G,New Mexico
Ray,Spalding,6,10,215,2018,3/11/1997,USA,0,26,F,Louisville
Omari,Spellman,6,9,245,2018,7/21/1997,USA,0,6,F,Villanova
Nik,Stauskas,6,6,205,2014,10/7/1993,Canada,4,6,G,Michigan
DJ,Stephens,6,5,188,2013,12/19/1990,USA,1,20,G-F,Memphis
Lance,Stephenson,6,6,230,2010,9/5/1990,USA,8,6,G,Cincinnati
Edmond,Sumner,6,6,176,2017,12/31/1995,USA,1,5,G,Xavier
Caleb,Swanigan,6,9,250,2017,4/18/1997,USA,1,50,F,Purdue
Jayson,Tatum,6,8,208,2017,3/3/1998,USA,1,0,F,Duke
Jeff,Teague,6,2,195,2009,6/10/1988,USA,9,0,G,Wake Forest
Garrett,Temple,6,6,195,2009,5/8/1986,USA,8,17,G-F,Louisiana State
Milos,Teodosic,6,5,196,2017,3/19/1987,Serbia,1,4,G,
Jared,Terrell,6,3,227,,2/10/1995,USA,0,3,G,Rhode Island
Daniel,Theis,6,8,243,2017,4/4/1992,Germany,1,27,F,
Isaiah,Thomas,5,9,185,2011,2/7/1989,USA,7,0,G,Washington
Khyri,Thomas,6,3,210,,5/8/1996,USA,0,13,G,Creighton
Lance,Thomas,6,8,240,2011,4/24/1988,USA,7,42,F,Duke
Klay,Thompson,6,7,215,2011,2/8/1990,USA,7,11,G,Washington State
Tristan,Thompson,6,10,238,2011,3/13/1991,Canada,7,13,F-C,Texas
Sindarius,Thornwell,6,5,215,2017,11/15/1994,USA,1,0,G,South Carolina
Anthony,Tolliver,6,8,250,2008,6/1/1985,USA,10,43,F,Creighton
Karl-Anthony,Towns,7,0,248,2015,11/15/1995,USA,3,32,F-C,Kentucky
Gary,Trent Jr.,-,-,,,,,,9,G,
Allonzo,Trier,6,5,200,2018,1/17/1996,USA,0,14,G,University of Arizona
PJ,Tucker,6,6,245,2006,5/5/1985,USA,7,17,F,Texas
Evan,Turner,6,7,220,2010,10/27/1988,USA,8,1,G-F,Ohio State
Myles,Turner,6,11,250,2015,3/24/1996,USA,3,33,F-C,Texas
Ekpe,Udoh,6,10,245,2010,5/20/1987,USA,6,33,C-F,Baylor
Tyler,Ulis,5,10,160,2016,1/5/1996,USA,2,0,G,Kentucky
Jonas,Valanciunas,7,0,265,2012,5/6/1992,Lithuania,6,17,C,"Utena, Lithuania"
Denzel,Valentine,6,6,210,2016,11/16/1993,USA,2,45,G,Michigan State
Jarred,Vanderbilt,6,9,214,,4/3/1999,USA,0,8,F,Kentucky
Fred,VanVleet,6,0,195,2016,2/25/1994,USA,2,23,G,Wichita State
Noah,Vonleh,6,9,250,2014,8/24/1995,USA,4,32,F,Indiana
Nikola,Vucevic,7,0,260,2011,10/24/1990,Montenegro,7,9,C,Southern California
Dwyane,Wade,6,4,220,2003,1/17/1982,USA,15,3,G,Marquette
Moritz,Wagner,6,11,245,,4/26/1997,Germany,0,15,C,Michigan
Dion,Waiters,6,4,215,2012,12/10/1991,USA,6,11,G,Syracuse
Kemba,Walker,6,1,184,2011,5/8/1990,USA,7,15,G,Connecticut
Lonnie,Walker IV,6,5,205,,12/14/1998,USA,0,1,G,Miami (FL)
John,Wall,6,4,210,2010,9/6/1990,USA,8,2,G,Kentucky
Tyrone,Wallace,6,5,198,2017,6/10/1994,USA,1,9,G,California
Brad,Wanamaker,6,4,210,2018,7/25/1989,USA,0,9,G,Pittsburgh
TJ,Warren,6,8,215,2014,9/5/1993,USA,4,12,F,North Carolina State
Yuta,Watanabe,6,9,205,,10/13/1994,Japan,0,12,G,George Washington
Travis,Wear,6,9,219,2014,9/21/1990,USA,2,21,F,UCLA
Thomas,Welsh,7,0,255,2018,2/3/1996,USA,0,45,C,California-Los Angeles
Russell,Westbrook,6,3,200,2008,11/12/1988,USA,10,0,G,UCLA
Derrick,White,6,4,190,2017,7/2/1994,USA,1,4,G,Colorado
Hassan,Whiteside,7,0,265,2010,6/13/1989,USA,6,21,C,Marshall
Andrew,Wiggins,6,8,194,2014,2/23/1995,Canada,4,22,G-F,Kansas
CJ,Wilcox,6,5,195,2014,12/30/1990,USA,3,23,G,Washington
Alan,Williams,6,8,265,2015,1/28/1993,USA,3,15,F-C,California-Santa Barbara
C.J.,Williams,6,5,226,2017,2/6/1990,USA,1,12,G,North Carolina State
Kenrich,Williams,6,7,210,2018,12/2/1994,,0,34,G-F,
Lou,Williams,6,1,175,2005,10/27/1986,USA,13,23,G,South Gwinnett HS (GA)
Marvin,Williams,6,9,237,2005,6/19/1986,USA,13,2,F,North Carolina
Robert,Williams III,6,10,240,,10/17/1997,USA,0,44,C-F,Texas A&M
D.J.,Wilson,6,10,231,2017,2/19/1996,USA,1,5,F,Michigan
Justise,Winslow,6,7,225,2015,3/26/1996,USA,3,20,F,Duke
Christian,Wood,6,10,214,2015,9/27/1995,USA,2,35,F,Nevada-Las Vegas
Delon,Wright,6,5,183,2015,4/26/1992,USA,3,55,G,Utah
Guerschon,Yabusele,6,8,260,2017,12/17/1995,France,1,30,F,
Thaddeus,Young,6,8,221,2007,6/21/1988,USA,11,21,F,Georgia Tech
Trae,Young,6,2,180,2018,9/19/1998,USA,0,11,G,Oklahoma
Cody,Zeller,7,0,240,2013,10/5/1992,USA,5,40,F-C,Indiana
Ante,Zizic,6,11,254,2017,1/4/1997,Croatia,1,41,C,
Ivica,Zubac,7,1,240,2016,3/18/1997,Croatia,2,40,C,
